"VAD2-29_O_L_6";"VAD2-14_O_L_6";"VAD2-15_O_L_6";"VAD2-44_O_L_6";"VAD2-45_O_L_24";"VAD2-26_O_L_24";"VAD2-28_O_L_24";"VAD2-25_O_L_24";"VAD2-22_O_L_72";"VAD2-17_O_L_72";"VAD2-48_O_L_72";"VAD2-33_O_L_72";"VAD2-47_O_L_144";"VAD2-18_O_L_144";"VAD2-35_O_L_144";"VAD2-23_O_L_144";"MDV1-50_O_L_6";"MDV1-15_O_L_6";"MDV1-23_O_L_6";"MDV1-13_O_L_6";"MDV1-44_O_L_24";"MDV1-16_O_L_24";"MDV1-41_O_L_24";"MDV1-33_O_L_24";"MDV1-31_O_L_72";"MDV1-46_O_L_72";"MDV1-18_O_L_72";"MDV1-49_O_L_72";"MDV1-24_O_L_144";"MDV1-9_O_L_144";"MDV1-12_O_L_144";"MDV1-45_O_L_144";"MDV2.3-21_O_L_6";"MDV2.3-18_O_L_6";"MDV2.3-33_O_L_6";"MDV2.3-49_O_L_6";"MDV2.3-17_O_L_24";"MDV2.3-45_O_L_24";"MDV2.3-13_O_L_24";"MDV2.3-30_O_L_24";"MDV2.3-44_O_L_72";"MDV2.3-28_O_L_72";"MDV2.3-32_O_L_72";"MDV2.3-15_O_L_72";"MDV2.3-26_O_L_144";"MDV2.3-19_O_L_144";"MDV2.3-50_O_L_144";"MDV2.3-46_O_L_144"
"gene_413";0;0;0;1;17;0;1;11;3;1;0;1;4;2;3;3;5;0;2;1;4;5;8;2;4;3;2;0;8;12;4;4;0;0;2;3;0;4;4;0;15;3;0;14;1;3;3;0
"gene_414";0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;2;0;0;0;2;4;1;0;1;0
"gene_415";0;0;0;0;0;0;0;1;1;1;1;0;2;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;4;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;1;0
"gene_416";0;0;0;0;0;0;0;4;0;0;3;0;0;1;1;0;0;0;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;3;0;0;2;0;0;1;0;0;0;0;0;1
"gene_417";0;1;0;1;1;0;0;3;0;1;0;0;8;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;1;0;0;3;0;0;1;0
"gene_418";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;1
"gene_419";0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;1;0;0;4;0
"gene_420";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0
"gene_421";6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"gene_422";0;0;0;1;0;0;1;0;1;6;0;0;1;0;0;0;0;0;0;0;0;2;2;0;1;1;0;0;0;2;0;0;0;0;0;2;0;0;3;0;0;0;2;2;1;0;0;5
"gene_423";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"gene_424";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gene_425";0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;1
"gene_426";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gene_427";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_428";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;2;0
"gene_429";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1
"gene_430";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;1;0;0
"gene_431";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"gene_432";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0
"gene_433";0;0;2;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;4;1;0;0;0;0;0;0;2;0;0;3;0
"gene_434";1;0;2;0;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;2;0;0;2;1;0;0;1;0;0;0;0;2;0;0;2;0;2;0;0;1;1;0;1;0
"gene_435";1;0;2;2;5;0;1;6;3;6;1;1;2;3;2;0;0;0;0;0;4;14;4;1;1;0;0;3;0;3;0;1;1;0;1;1;0;2;0;1;6;0;0;2;2;0;8;4
"gene_436";1;0;0;1;2;0;3;1;0;2;0;0;0;0;1;1;0;0;0;2;0;2;1;0;0;0;0;0;1;1;0;0;2;0;1;3;0;1;0;0;0;0;0;1;1;0;2;1
"gene_437";0;0;0;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0
"gene_438";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_439";0;0;0;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"gene_440";0;0;0;3;1;0;0;1;0;2;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;4;1;1;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;1;0;3;0
"gene_441";0;0;0;1;1;0;0;1;2;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0
"gene_442";0;0;0;0;0;0;0;3;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"gene_443";0;1;3;0;0;0;2;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;3;1;1;1;0
"gene_444";0;1;1;0;4;0;0;2;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;3
"gene_445";1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gene_446";0;0;4;5;6;0;0;2;3;4;2;2;3;2;0;2;1;0;0;1;5;3;1;0;0;0;0;1;1;2;0;1;0;0;1;3;0;0;1;0;4;0;0;1;0;2;6;0
"gene_447";0;1;0;2;2;0;0;1;0;2;1;0;4;2;0;4;2;0;0;1;0;2;6;0;0;1;0;1;1;5;0;2;2;1;2;1;1;2;7;0;0;2;1;1;0;2;0;2
"gene_448";5;0;1;2;1;0;1;2;0;0;1;2;1;1;0;1;2;0;0;0;6;6;2;1;1;0;1;0;1;1;0;1;0;0;0;1;0;2;0;0;1;0;1;2;0;0;2;1
"gene_449";0;1;0;0;4;0;0;6;0;0;0;0;2;0;0;0;1;0;0;3;5;1;0;1;0;0;0;0;0;6;0;0;0;0;0;2;1;1;3;0;0;0;0;0;0;0;3;1
"gene_450";0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;2;1;2;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1
"gene_451";0;0;0;1;0;0;0;0;2;1;0;4;4;0;0;1;1;0;0;0;0;1;1;1;0;0;2;3;1;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;2
"gene_452";0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0
"gene_453";1;0;0;5;1;0;0;1;0;0;2;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;1;0;0;0;0;0;1;1
"gene_454";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_455";0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"gene_456";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
"gene_457";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"gene_458";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gene_459";0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0
"gene_460";0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;2;0;1;0;0;3;0;0;0;0;0;0;2
"gene_461";0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;7;0;0;0;0
"gene_462";0;0;0;0;0;0;6;1;0;4;0;0;0;1;1;0;0;0;0;0;0;2;3;1;1;0;1;2;2;1;0;2;0;0;1;0;0;1;0;1;0;0;2;0;0;3;0;2
"gene_463";0;0;1;0;4;0;2;0;2;3;0;0;0;4;2;2;0;0;0;0;1;4;1;1;0;0;0;0;2;2;0;1;0;0;0;2;0;2;3;1;2;0;1;0;4;1;3;2
"gene_464";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_465";1;1;0;1;0;0;0;0;0;1;6;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"gene_466";6;9;14;21;101;2;13;39;8;36;2;5;25;7;6;14;8;4;10;29;25;54;48;17;17;20;3;18;10;46;12;10;13;5;6;8;8;10;46;18;43;2;4;11;10;6;24;14
"gene_467";2;4;7;7;8;0;0;11;4;3;5;3;0;1;2;0;3;1;2;3;5;12;4;3;0;1;0;1;2;4;0;4;18;5;3;11;6;10;4;0;1;0;1;14;5;2;2;0
"gene_468";0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;3;2;2;1;0;0;1;0;0;0;1;0;0;0;0;2;3;2;1;2;0;2;1;0;2;0;0;1;2
"gene_469";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"gene_470";0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;0;1;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;3;0;0;0
"gene_471";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gene_472";0;0;1;0;0;0;0;5;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;2
"gene_473";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_474";0;0;4;0;0;0;0;4;0;1;0;0;1;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;0;2;0;0;0;0;1;2;0;1;1;0;4;1;0;0;1;0;4;0
"gene_475";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"gene_476";0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;6;0;0;0;0
"gene_477";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
"gene_478";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gene_479";0;0;1;0;4;0;0;3;0;1;0;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;2;0;0
"gene_480";0;3;0;19;5;1;1;2;2;2;4;7;9;1;3;2;9;6;4;4;2;11;1;1;6;0;0;2;2;15;0;4;0;3;10;15;2;2;12;7;8;0;0;5;7;0;9;6
"gene_481";1;0;0;1;2;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;5;2;0;2;0;1;0;0;0;9;0;0;1;0;0;1;0;0;10;0;4;2;2;4;2;0;1;2
"gene_482";0;2;1;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
"gene_483";0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
"gene_484";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_485";0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"gene_486";0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;0;1;0;0;4;1;1;0;2;0;0;0;0;0;2;0;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;2
"gene_487";0;0;0;1;4;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;3;1;0;1;0;1
"gene_488";0;0;2;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;1;0;0;0
"gene_489";0;0;1;0;0;0;0;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"gene_490";0;4;1;0;2;0;1;8;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0;2;1;0;0;0;0;0;0;3
"gene_491";0;1;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1
"gene_492";0;0;0;3;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;1;1;0;1;0;0;0;0;3;0;1;1;0;2;0;0;1;0;0;0;0
"gene_493";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"gene_494";1;0;2;2;0;0;0;6;0;1;2;1;1;0;1;0;1;0;0;1;5;10;1;0;2;0;1;0;1;1;1;3;0;0;0;5;0;0;0;0;4;1;1;5;0;1;2;2
"gene_495";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_496";0;0;2;1;2;0;2;2;0;2;1;0;3;1;1;0;0;0;1;0;0;2;4;1;1;0;1;1;1;17;1;0;1;1;2;12;0;1;5;0;1;0;0;5;4;1;4;0
"gene_497";0;2;1;0;0;1;0;4;3;0;9;1;1;1;0;1;0;0;0;0;4;1;0;1;0;0;1;0;0;1;0;1;0;0;1;2;0;0;0;1;1;0;0;0;0;0;1;1
"gene_498";0;0;0;1;5;0;0;3;0;0;0;0;1;0;0;0;0;0;2;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2
"gene_499";1;1;1;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;1;0;1;1;0;3;1;0;3;2;0;0;1;0;0;1;0;2;0
"gene_500";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2
"gene_501";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"gene_502";0;0;2;0;2;0;1;0;0;2;2;0;1;0;0;0;1;0;0;0;0;2;0;0;0;2;0;3;0;0;0;0;1;0;0;1;0;1;0;0;1;0;2;4;0;0;3;0
"gene_503";1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;3;0;0;0;0
"gene_504";0;0;0;0;1;0;0;0;0;2;3;1;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;2;2;1;0;0;2;0;0
"gene_505";0;2;0;2;1;0;0;4;1;1;1;2;4;0;0;0;0;1;0;0;1;1;1;0;0;0;1;3;0;2;0;1;0;0;2;1;0;0;8;4;6;0;0;0;3;0;2;1
"gene_506";0;0;0;5;4;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;1;4;1;0;1;0;0;0;1;2;0;1;1;0;0;11;0;0;2;0;4;1;0;0;0;0;2;1
"gene_507";0;1;0;0;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;2;1;0;0;1;0;0;1;1;0;0;0;2;0;0;1;0;6;2;0
"gene_508";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0
"gene_509";0;1;0;0;0;0;1;5;0;0;2;1;0;3;0;3;0;0;0;0;7;1;0;0;0;0;5;1;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;1;0;1
"gene_510";0;0;0;0;0;0;0;5;0;3;1;0;2;0;0;0;0;2;0;2;3;1;0;1;0;3;0;0;0;4;0;0;0;0;0;2;0;0;0;1;3;0;1;1;0;0;2;0
"gene_511";0;0;0;1;6;1;2;1;0;3;2;0;2;3;0;0;1;0;0;0;0;3;2;0;0;3;0;1;1;2;2;9;0;0;1;9;2;1;0;3;2;0;0;8;4;0;3;2
"gene_512";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;3;1
"gene_513";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;4;0;0;1;1
"gene_514";0;0;1;4;1;0;0;2;0;0;0;0;5;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;1;0;1;1;0;2;1;1;0;1;1;0;0;1;2;0;0;0
"gene_515";0;0;0;0;1;0;0;2;1;1;0;0;14;1;2;0;2;0;0;0;2;1;0;0;0;0;1;5;0;0;0;4;2;0;0;3;0;0;8;3;0;1;0;1;5;0;0;2
"gene_516";1;1;0;3;0;0;0;2;0;0;3;0;3;0;10;0;0;1;1;0;1;0;0;2;0;0;1;1;0;10;0;1;0;0;1;1;0;2;1;6;5;0;0;4;2;1;1;1
"gene_517";0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
"gene_518";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
"gene_519";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gene_520";1;1;1;1;3;1;2;2;5;1;3;0;2;0;2;0;5;0;1;2;6;16;3;1;1;3;0;2;1;2;0;2;1;0;1;2;0;4;0;2;2;0;1;5;1;1;0;6
"gene_521";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_522";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_523";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_524";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
"gene_525";0;0;0;0;3;0;0;2;4;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;1;0;0;0;1;0;0;2;1;1;0;0;3;0;0;0;0
"gene_526";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_527";1;0;0;1;2;0;1;1;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"gene_528";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_529";0;0;1;0;1;0;0;1;4;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;2;1;1;1;0;0;0;0;1;0;1
"gene_530";0;1;0;0;0;0;0;0;0;1;1;3;0;1;3;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;1;0
"gene_531";0;2;0;10;0;0;0;3;0;0;3;0;1;0;1;0;1;0;0;2;4;2;0;0;1;0;0;0;1;3;0;0;0;0;0;9;0;1;7;2;0;0;0;2;0;1;3;1
"gene_532";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_533";0;1;0;0;2;1;1;0;0;3;0;3;1;1;1;2;1;0;0;1;2;1;1;1;0;1;0;4;0;5;1;3;0;0;0;3;0;0;0;0;3;1;4;0;10;0;1;0
"gene_534";0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"gene_535";1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;6;0;2;0;0;1;0;0;3;0;0;1;0;2;0;1;2;0;3;1;3
"gene_536";1;0;1;2;0;0;0;0;0;0;2;0;4;3;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"gene_537";0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
"gene_538";0;4;7;1;3;1;0;9;2;1;0;0;1;1;0;1;1;0;0;0;2;17;3;2;3;0;0;1;4;5;0;0;0;5;2;2;1;1;0;0;2;0;0;5;1;0;4;0
"gene_539";0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;4;0;0;0;1;1;3;0;0;0;1;0;0;0;3;0;0;0;0;4;0;0;0;0;1;1;1
"gene_540";1;7;1;1;3;0;1;5;0;0;1;1;1;0;0;0;0;0;0;0;5;3;3;1;0;0;1;2;5;2;2;0;0;0;0;1;0;1;0;0;2;0;0;2;0;0;0;0
"gene_541";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gene_542";12;6;17;39;111;0;5;48;48;42;63;10;35;9;9;53;16;1;15;20;44;63;39;19;30;14;5;25;13;85;2;47;10;11;16;51;18;25;39;28;38;4;16;40;29;8;44;57
